Participant_ID,Clip_ID,Clip_Type,Confidence_Level,Selected_Timestamp,Salient_Position_Type,Model_Salient_Interval,Influential_Features-Eyebrows,Influential_Features-Eyes,Influential_Features-Mouth,Influential_Features-Voice
1,Clip 303,TN,6,4.3,Case 1,4.4-4.5 sec,Eyebrows lifted near the center,Eyes opened wider than usual,Slight smirk,Increased Vocal Jitter and Shimmer
1,Clip 308,TP,9,6.4,Case 3,5.9-6 sec,Brow lowering,,Mouth open,Monotone or flat voice
1,Clip 344,TP,8,5,Case 2,7.4-7.5 sec,Outer edges of eyebrows raised,Repeated blinking,Slight smirk,Slow speech with long pauses
1,Clip 445,TN,1,7.5,Case 3,5.9-6 sec,,Repeated blinking,Smiling; Mouth open,Stable Voice; Speech that is fluid and uninterrupted
1,Clip 472,FP,6,0.5,Case 1,4.4-4.5 sec,Brow lowering,Repeated blinking,Lips pressed together,Speech that sounds hesitant or unsure; Increased Vocal Jitter and Shimmer
1,Clip 352,FN,2,6.9,Case 2,7.4-7.5 sec,,,Smiling,Speech with energy or enthusiasm; Laughter or lighthearted tone
2,Clip 411,TN,1,3.7,Case 2,7.4-7.5 sec,,Eyes opened wider than usual,Mouth open,Stable Voice; Speech with energy or enthusiasm; Speech that is fluid and uninterrupted
2,Clip 490,TN,2,5.1,Case 3,5.9-6 sec,,,Mouth open,Slow speech with long pauses; Stable Voice
2,Clip 483,TP,8,3,Case 1,4.4-4.5 sec,Eyebrows lifted near the center,Eye squinting,Lips sucked in,
2,Clip 353,FN,2,5.1,Case 2,7.4-7.5 sec,,Eyes opened wider than usual,Mouth open,Stable Voice; Speech with energy or enthusiasm; Speech that is fluid and uninterrupted
2,Clip 337,TP,8,3,Case 3,5.9-6 sec,,Repeated blinking; Eye squinting,Lips pressed together,Speech that sounds hesitant or unsure; Increased Vocal Jitter and Shimmer
2,Clip 478,FP,2,1.5,Case 1,4.4-4.5 sec,Eyebrows lifted near the center,,Mouth open,Stable Voice; Speech with energy or enthusiasm
3,Clip 323,TN,2,4.7,Case 1,4.4-4.5 sec,Eyebrows lifted near the center,Repeated blinking; Eye squinting,Smiling; Slight smirk; Mouth open,Monotone or flat voice; Stable Voice
3,Clip 459,TP,8,2.1,Case 1,4.4-4.5 sec,Brow lowering,Eye squinting,Lips pressed together; Mouth open,Monotone or flat voice; Slow speech with long pauses; Speech that sounds hesitant or unsure
3,Clip 321,TP,6,4.7,Case 3,5.9-6 sec,Eyebrows lifted near the center,Repeated blinking; Eye squinting,Slight smirk; Lips pressed together,Slow speech with long pauses; Speech that sounds hesitant or unsure; Increased Vocal Jitter and Shimmer
3,Clip 409117,TN,3,1.9,Case 2,7.4-7.5 sec,Eyebrows lifted near the center,Repeated blinking; Eye squinting,Slight smirk; Lips pressed together,Monotone or flat voice; Speech that is fluid and uninterrupted
3,Clip 379,FP,5,5,Case 2,7.4-7.5 sec,Eyebrows lifted near the center,Repeated blinking,Slight smirk; Lips pressed together,Monotone or flat voice; Speech that sounds hesitant or unsure; Stable Voice
3,Clip 405,FN,7,8.2,Case 3,5.9-6 sec,Outer edges of eyebrows raised,Repeated blinking,Slight smirk,Laughter or lighthearted tone
4,Clip 401,TN,4,5.2,Case 2,7.4-7.5 sec,,Repeated blinking; Eye squinting,,Monotone or flat voice
